player_name,date_of_birth/age,height,position
Lassine Sinayoko,Dec 8 1999 (25),186 m,Left Winger
Zossou,Jun 14 2005 (19),178 m,Left Winger
Gaëtan Perrin,Jun 7 1996 (28),169 m,Right Winger
Lasso Coulibaly,Oct 19 2002 (22),176 m,Right Winger
Eros Maddy,Feb 5 2001 (24),177 m,Right Winger
Theo Bair,Aug 27 1999 (25),191 m,Centre-Forward
Ado Onaiwu,Nov 8 1995 (29),180 m,Centre-Forward
Florian Ayé,Jan 19 1997 (28),184 m,Centre-Forward
Yahia Fofana,Aug 21 2000 (24),194 m,Goalkeeper
Melvin Zinga,Mar 16 2002 (23),187 m,Goalkeeper
Oumar Pona,Jun 21 2006 (18),189 m,Goalkeeper
Emmanuel Biumla,May 8 2005 (19),185 m,Centre-Back
Cédric Hountondji,Jan 19 1994 (31),194 m,Centre-Back
Jordan Lefort,Aug 9 1993 (31),184 m,Centre-Back
Ousmane Camara,Mar 6 2003 (22),197 m,Centre-Back
Abdoulaye Bamba,Apr 25 1990 (34),182 m,Centre-Back
